#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 09 09 08 45 200  1.0  2.0    MM    MM    MM  MM     MM  22.3    MM  19.5   MM   MM    MM
2021 09 09 08 15 320  1.0  2.0    MM    MM    MM  MM     MM  22.3    MM  19.9   MM   MM    MM
2021 09 09 07 45 320  4.0  5.0    MM    MM    MM  MM     MM  22.4    MM  20.2   MM   MM    MM
2021 09 09 07 15 280  4.0  4.0    MM    MM    MM  MM     MM  22.7    MM  20.7   MM   MM    MM
2021 09 09 06 30 260  6.0 10.0    MM    MM    MM  MM     MM  22.9    MM  21.2   MM   MM    MM
2021 09 09 06 15 250  5.0  8.0    MM    MM    MM  MM     MM  23.2    MM  21.3   MM   MM    MM
2021 09 09 05 30 220  3.0  5.0    MM    MM    MM  MM     MM  23.7    MM  21.0   MM   MM    MM
2021 09 09 05 15 200  4.0  6.0    MM    MM    MM  MM     MM  23.7    MM  20.9   MM   MM    MM
2021 09 09 04 30 200  5.0  7.0    MM    MM    MM  MM     MM  23.8    MM  21.4   MM   MM    MM
2021 09 09 04 00 190  8.0 11.0    MM    MM    MM  MM     MM  24.0    MM  21.5   MM   MM    MM
2021 09 09 03 30 200  9.0 12.0    MM    MM    MM  MM     MM  24.2    MM  21.4   MM   MM    MM
2021 09 09 03 15 190  9.0 12.0    MM    MM    MM  MM     MM  24.1    MM  21.3   MM   MM    MM
2021 09 09 02 45 190  7.0 11.0    MM    MM    MM  MM     MM  24.0    MM  21.3   MM   MM    MM
2021 09 09 02 15 190  7.0 10.0    MM    MM    MM  MM     MM  24.1    MM  21.1   MM   MM    MM
2021 09 09 01 30 180  7.0 11.0    MM    MM    MM  MM     MM  24.1    MM  20.6   MM   MM    MM
2021 09 09 01 15 180  7.0 10.0    MM    MM    MM  MM     MM  24.1    MM  20.6   MM   MM    MM
2021 09 09 00 30 180  7.0 10.0    MM    MM    MM  MM     MM  24.1    MM  20.7   MM   MM    MM
2021 09 09 00 15 180  8.0 12.0    MM    MM    MM  MM     MM  24.1    MM  20.7   MM   MM    MM
2021 09 08 23 30 180  9.0 12.0    MM    MM    MM  MM     MM  24.4    MM  20.4   MM   MM    MM
2021 09 08 22 45 180  9.0 12.0    MM    MM    MM  MM     MM  24.6    MM  21.0   MM   MM    MM
2021 09 08 22 00 170  8.0 12.0    MM    MM    MM  MM     MM  25.0    MM  21.2   MM   MM    MM
2021 09 08 21 30 180 10.0 15.0    MM    MM    MM  MM     MM  25.3    MM  20.9   MM   MM    MM
2021 09 08 20 45 180  9.0 14.0    MM    MM    MM  MM     MM  25.8    MM  20.5   MM   MM    MM
2021 09 08 20 00 180 10.0 15.0    MM    MM    MM  MM     MM  25.8    MM  20.4   MM   MM    MM
2021 09 08 19 15 180 10.0 14.0    MM    MM    MM  MM     MM  26.2    MM  19.5   MM   MM    MM
2021 09 08 19 00 190 10.0 15.0    MM    MM    MM  MM     MM  26.3    MM  19.5   MM   MM    MM
2021 09 08 18 30 190  9.0 15.0    MM    MM    MM  MM     MM  26.4    MM  18.5   MM   MM    MM
2021 09 08 18 00 190  8.0 13.0    MM    MM    MM  MM     MM  26.4    MM  18.8   MM   MM    MM
2021 09 08 17 45 190  9.0 13.0    MM    MM    MM  MM     MM  26.5    MM  18.2   MM   MM    MM
2021 09 08 17 00 180  8.0 12.0    MM    MM    MM  MM     MM  25.8    MM  19.4   MM   MM    MM
2021 09 08 16 30 180  8.0 12.0    MM    MM    MM  MM     MM  25.3    MM  19.6   MM   MM    MM
2021 09 08 16 15 180  7.0 10.0    MM    MM    MM  MM     MM  25.2    MM  19.6   MM   MM    MM
2021 09 08 15 30 200  6.0  8.0    MM    MM    MM  MM     MM  25.2    MM  19.2   MM   MM    MM
2021 09 08 15 15 200  6.0  9.0    MM    MM    MM  MM     MM  25.3    MM  18.6   MM   MM    MM
2021 09 08 14 45 200  6.0  8.0    MM    MM    MM  MM     MM  24.8    MM  19.0   MM   MM    MM
2021 09 08 14 15 210  6.0  8.0    MM    MM    MM  MM     MM  24.2    MM  19.2   MM   MM    MM
2021 09 08 13 45 190  5.0  7.0    MM    MM    MM  MM     MM  24.0    MM  19.1   MM   MM    MM
2021 09 08 13 15 190  5.0  7.0    MM    MM    MM  MM     MM  23.6    MM  18.8   MM   MM    MM
2021 09 08 12 45 200  5.0  7.0    MM    MM    MM  MM     MM  23.1    MM  18.4   MM   MM    MM
2021 09 08 12 00 190  5.0  7.0    MM    MM    MM  MM     MM  22.6    MM  18.1   MM   MM    MM
2021 09 08 11 30 200  5.0  6.0    MM    MM    MM  MM     MM  22.4    MM  17.9   MM   MM    MM
2021 09 08 11 15 190  5.0  6.0    MM    MM    MM  MM     MM  22.3    MM  17.7   MM   MM    MM
